asset_id,attack,severity,oqi,target_oqi,predicted_attack,confidence,low_quality_patches,low_patch_centers
B340741780701063A0,clean,0.0,98.70094299316406,100.0,clean,0.9912603497505188,6;5;14,"[[0.19779999554157257, 0.027499999850988388, -0.2960599958896637], [0.14409999549388885, 0.07018999755382538, 0.18501999974250793], [0.05090999975800514, 0.01696000061929226, -0.38679999113082886]]"
B341241778301063A0,clean,0.0,98.63298797607422,100.0,clean,0.9046976566314697,6;0;3,"[[0.3783699870109558, 0.051589999347925186, 0.0056500001810491085], [0.4022499918937683, 0.048700001090765, 0.21911999583244324], [0.16297000646591187, 0.05364000052213669, -0.04915999993681908]]"
B341581788502063A0,clean,0.0,99.06077575683594,100.0,clean,0.9963674545288086,1;10;9,"[[0.3926999866962433, -0.02250000089406967, -0.09105999767780304], [0.24456000328063965, 0.003640000009909272, -0.09788999706506729], [0.08730000257492065, 0.010739999823272228, -0.14422999322414398]]"
B341581788801063A0,clean,0.0,99.54867553710938,100.0,clean,0.9997250437736511,12;6;2,"[[0.19083000719547272, 0.0747700035572052, 0.20674000680446625], [0.2656700015068054, -0.039500001817941666, 0.09516999870538712], [0.0754299983382225, -0.03791999816894531, 0.2954599857330322]]"
B342151781501063A0,clean,0.0,75.9934310913086,100.0,camera_jitter12,0.8566400408744812,1;11;2,"[[0.30305999517440796, -0.016289999708533287, -0.2669000029563904], [0.0561399981379509, -0.008960000239312649, 0.27702999114990234], [0.13954000174999237, -0.03424999862909317, 0.15964999794960022]]"
B342351793101063A0,clean,0.0,99.03026580810547,100.0,clean,0.9769743084907532,11;0;9,"[[0.33357998728752136, 0.10486999899148941, -0.051600001752376556], [0.32265999913215637, 0.0003000000142492354, -0.05835999920964241], [0.20774999260902405, 0.0782100036740303, 0.07540000230073929]]"
B342841785101063A0,clean,0.0,91.29915618896484,100.0,connected_crop,0.6752339005470276,4;6;3,"[[0.03254000097513199, 0.06168999895453453, 0.04834999889135361], [0.15282000601291656, 0.03448000177741051, -0.17601999640464783], [0.2698900103569031, 0.0422700010240078, -0.0926399976015091]]"
B343131781801063A0,clean,0.0,73.95208740234375,100.0,camera_jitter12,0.9999146461486816,0;10;9,"[[0.3188000023365021, -0.08596000075340271, -0.26262998580932617], [0.21827000379562378, -0.021390000358223915, -0.15546000003814697], [0.16370999813079834, -0.04548000171780586, -0.3027400076389313]]"
B343341787401063A0,clean,0.0,98.83609771728516,100.0,clean,0.9766588807106018,2;0;1,"[[0.26837998628616333, -0.04811999946832657, 0.013170000165700912], [0.017340000718832016, 0.037289999425411224, 0.21146999299526215], [-0.06415999680757523, -0.05821000039577484, -0.28174999356269836]]"
B343811783101062A0,clean,0.0,80.21903228759766,100.0,retriangulate,0.8737582564353943,8;5;1,"[[0.22641000151634216, 0.0421999990940094, -0.10835999995470047], [0.21799999475479126, -0.025550000369548798, -0.09982000291347504], [0.3004400134086609, 0.04148999974131584, -0.2128400057554245]]"
B354191720501063A0,clean,0.0,98.79561614990234,100.0,clean,0.9463625550270081,7;6;15,"[[0.267659991979599, -0.015589999966323376, 0.12605999410152435], [0.25738999247550964, -0.013299999758601189, -0.2062000036239624], [0.1901099979877472, -0.015690000727772713, -0.11210999637842178]]"
B355381731601063A0,clean,0.0,70.18728637695312,100.0,connected_crop,0.4849884808063507,2;11;5,"[[0.13269999623298645, -0.007199999876320362, 0.12058000266551971], [0.1469700038433075, -0.3626599907875061, 0.13676999509334564], [0.19436000287532806, -0.3641799986362457, -0.06306999921798706]]"
B356631735402063A0,clean,0.0,96.3235092163086,100.0,jpeg50,0.75532466173172,2;14;10,"[[0.21322999894618988, -0.006779999937862158, -0.1722699999809265], [0.2357800006866455, -0.05000000074505806, 0.09872999787330627], [0.18745000660419464, -0.05046999827027321, -0.3669399917125702]]"
B356701722402063A0,clean,0.0,99.08963012695312,100.0,clean,0.9978587031364441,0;5;3,"[[0.37053000926971436, 0.0072200000286102295, -0.0207700002938509], [0.15068000555038452, 0.0007699999841861427, -0.0838799998164177], [0.05651000142097473, -0.008670000359416008, -0.289029985666275]]"
B357521725801063A1,clean,0.0,71.81291198730469,100.0,camera_jitter12,0.783729076385498,8;1;2,"[[0.2384600043296814, -0.06210999935865402, -0.13715000450611115], [0.1159299984574318, -0.11704999953508377, -0.3655399978160858], [0.28711000084877014, -0.11412999778985977, 0.1290999948978424]]"
B358161715701063A0,clean,0.0,90.93941497802734,100.0,occlusion20,0.6764823794364929,0;7;6,"[[0.2215700000524521, -0.30893999338150024, -0.19434000551700592], [-0.1837099939584732, 0.3400599956512451, -0.10145000368356705], [0.16787999868392944, 0.3361699879169464, 0.119159996509552]]"
B358341716301063A0,clean,0.0,84.59076690673828,100.0,camera_jitter12,0.7959218621253967,0;14;11,"[[0.1301099956035614, 0.011210000142455101, -0.24309000372886658], [-0.04207000136375427, 0.01116000022739172, -0.2518500089645386], [0.230880007147789, -0.026399999856948853, 0.045010000467300415]]"
B358341727001063A0,clean,0.0,99.557373046875,100.0,clean,0.9994059801101685,8;3;0,"[[0.08032000064849854, -0.09331999719142914, -0.29047998785972595], [0.247079998254776, 0.05378999933600426, -0.14590999484062195], [0.22109000384807587, 0.04901000112295151, 0.32589998841285706]]"
B358411737101063A1,clean,0.0,96.14558410644531,100.0,occlusion20,0.8331224322319031,0;14;9,"[[0.3331100046634674, 0.006240000016987324, 0.13630999624729156], [0.33142998814582825, 0.10446999967098236, 0.08648999780416489], [0.18254999816417694, 0.11294999718666077, 0.15764999389648438]]"
B358471720201063A0,clean,0.0,98.4760971069336,100.0,clean,0.9442849159240723,6;2;12,"[[0.03187999874353409, -0.10721000283956528, -0.17900000512599945], [0.11922000348567963, 0.028429999947547913, 0.023360000923275948], [0.013559999875724316, 0.002839999971911311, -0.10332000255584717]]"
B358631736902063A1,clean,0.0,98.7457504272461,100.0,clean,0.9793077111244202,0;12;13,"[[0.37353000044822693, -0.027710000053048134, 0.1997399926185608], [0.036159999668598175, -0.018629999831318855, 0.055479999631643295], [-0.012249999679625034, -0.026820000261068344, -0.2710599899291992]]"
